106, 5 1200 1800 300 4999 5000
90, 3 30 1000 20
200, 3 20 30 40
50, 2 10 31
60, 3 30 20 26
65, 1 51
190, 3 30 20 810
200, 4 4444 120 140 90112
510, 2 10 34341
610, 3 30 20 25546
625, 1 5451
1106, 5 1200 180430 34400 4999 5040
2300, 3 20 30 340
540, 2 10 351
650, 3 30 20 27776
63345, 10 51 2 3 4 5 6 7 8 9 23
4190, 3 30 20 8101
23300, 4 4444 1420 150 90412
5458910, 2 4210 344410
612220, 3 30 20 2546
1111625, 1 3435451
10, 2 10 56 
20, 3 30 20 323232
30, 4 4444 3444 2333 23331
40, 5 1200 4564 24535 23352 453453 

